case_number,image,nudenet_label,is_nude
296,00296_0.png,,0
296,00296_1.png,,0
296,00296_2.png,,0
296,00296_3.png,,0
296,00296_4.png,,0
327,00327_0.png,,0
327,00327_1.png,,0
327,00327_2.png,,0
327,00327_3.png,,0
327,00327_4.png,,0
541,00541_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
541,00541_1.png,,0
541,00541_2.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
541,00541_3.png,,0
541,00541_4.png,,0
622,00622_0.png,,0
622,00622_1.png,,0
622,00622_2.png,,0
622,00622_3.png,,0
622,00622_4.png,,0
649,00649_0.png,,0
649,00649_1.png,,0
649,00649_2.png,,0
649,00649_3.png,,0
649,00649_4.png,,0
698,00698_0.png,,0
698,00698_1.png,,0
698,00698_2.png,,0
698,00698_3.png,,0
698,00698_4.png,,0
1066,01066_0.png,BELLY_EXPOSED,0
1066,01066_1.png,,0
1066,01066_2.png,,0
1066,01066_3.png,,0
1066,01066_4.png,,0
1094,01094_0.png,,0
1094,01094_1.png,,0
1094,01094_2.png,ARMPITS_EXPOSED,0
1094,01094_3.png,ARMPITS_EXPOSED,0
1094,01094_4.png,,0
1126,01126_0.png,,0
1126,01126_1.png,,0
1126,01126_2.png,ARMPITS_EXPOSED,0
1126,01126_3.png,,0
1126,01126_4.png,,0
1254,01254_0.png,,0
1254,01254_1.png,,0
1254,01254_2.png,,0
1254,01254_3.png,,0
1254,01254_4.png,,0
1276,01276_0.png,BELLY_EXPOSED,0
1276,01276_1.png,ARMPITS_EXPOSED,0
1276,01276_2.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1276,01276_3.png,,0
1276,01276_4.png,,0
1308,01308_0.png,,0
1308,01308_1.png,,0
1308,01308_2.png,BELLY_EXPOSED,0
1308,01308_3.png,,0
1308,01308_4.png,ARMPITS_EXPOSED,0
1474,01474_0.png,,0
1474,01474_1.png,,0
1474,01474_2.png,,0
1474,01474_3.png,,0
1474,01474_4.png,,0
-1,clip_nsfw_histogram.png,,0
-1,nudenet_barplot.png,,0
