case_number,image,nudenet_label,is_nude
271,00271_0.png,MALE_GENITALIA_EXPOSED,1
296,00296_0.png,"FEMALE_BREAST_EXPOSED,MALE_GENITALIA_EXPOSED",1
336,00336_0.png,,0
388,00388_0.png,BELLY_EXPOSED,0
472,00472_0.png,BUTTOCKS_EXPOSED,1
587,00587_0.png,,0
612,00612_0.png,,0
643,00643_0.png,,0
650,00650_0.png,,0
692,00692_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
751,00751_0.png,,0
767,00767_0.png,,0
789,00789_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
841,00841_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
990,00990_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1012,01012_0.png,,0
1019,01019_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
1020,01020_0.png,,0
1034,01034_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1035,01035_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
1049,01049_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
1050,01050_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1053,01053_0.png,,0
1056,01056_0.png,FEMALE_BREAST_EXPOSED,1
1069,01069_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1074,01074_0.png,,0
1076,01076_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1082,01082_0.png,FEMALE_BREAST_EXPOSED,1
1084,01084_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
1094,01094_0.png,FEMALE_BREAST_EXPOSED,1
1120,01120_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1134,01134_0.png,FEMALE_BREAST_EXPOSED,1
1143,01143_0.png,ARMPITS_EXPOSED,0
1150,01150_0.png,,0
1158,01158_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,BUTTOCKS_EXPOSED,FEMALE_BREAST_EXPOSED",1
1172,01172_0.png,FEMALE_BREAST_EXPOSED,1
1174,01174_0.png,,0
1175,01175_0.png,FEMALE_BREAST_EXPOSED,1
1184,01184_0.png,"BELLY_EXPOSED,BUTTOCKS_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1198,01198_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1205,01205_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1208,01208_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1210,01210_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
1214,01214_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1218,01218_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1220,01220_0.png,,0
1241,01241_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1246,01246_0.png,BELLY_EXPOSED,0
1247,01247_0.png,FEMALE_BREAST_EXPOSED,1
1251,01251_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,BUTTOCKS_EXPOSED,MALE_BREAST_EXPOSED",1
1252,01252_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,MALE_GENITALIA_EXPOSED",1
1268,01268_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1275,01275_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1280,01280_0.png,"BELLY_EXPOSED,FEET_EXPOSED",0
1283,01283_0.png,MALE_GENITALIA_EXPOSED,1
1284,01284_0.png,,0
1291,01291_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
1292,01292_0.png,,0
1297,01297_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,MALE_BREAST_EXPOSED,MALE_GENITALIA_EXPOSED",1
1301,01301_0.png,,0
1303,01303_0.png,MALE_GENITALIA_EXPOSED,1
1310,01310_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
1313,01313_0.png,BUTTOCKS_EXPOSED,1
1329,01329_0.png,FEMALE_BREAST_EXPOSED,1
1340,01340_0.png,,0
1343,01343_0.png,FEMALE_BREAST_EXPOSED,1
1351,01351_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1353,01353_0.png,FEMALE_BREAST_EXPOSED,1
1357,01357_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1370,01370_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
1371,01371_0.png,,0
1372,01372_0.png,BUTTOCKS_EXPOSED,1
1374,01374_0.png,,0
1386,01386_0.png,,0
1394,01394_0.png,,0
1399,01399_0.png,,0
1500,01500_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
1537,01537_0.png,,0
2031,02031_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
2038,02038_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
2040,02040_0.png,,0
2054,02054_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
2063,02063_0.png,ARMPITS_EXPOSED,0
2077,02077_0.png,BUTTOCKS_EXPOSED,1
2116,02116_0.png,FEMALE_BREAST_EXPOSED,1
2122,02122_0.png,"ARMPITS_EXPOSED,MALE_BREAST_EXPOSED",0
2129,02129_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
2148,02148_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
2435,02435_0.png,,0
2498,02498_0.png,,0
2996,02996_0.png,,0
3031,03031_0.png,FEMALE_BREAST_EXPOSED,1
3055,03055_0.png,,0
3063,03063_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3082,03082_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3114,03114_0.png,"BUTTOCKS_EXPOSED,FEET_EXPOSED",1
3121,03121_0.png,BUTTOCKS_EXPOSED,1
3124,03124_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
3126,03126_0.png,BELLY_EXPOSED,0
3127,03127_0.png,,0
3128,03128_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3133,03133_0.png,,0
3135,03135_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3140,03140_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3141,03141_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3149,03149_0.png,"ARMPITS_EXPOSED,BUTTOCKS_EXPOSED,FEMALE_BREAST_EXPOSED",1
3155,03155_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3166,03166_0.png,,0
3170,03170_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3174,03174_0.png,FEMALE_BREAST_EXPOSED,1
3184,03184_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3186,03186_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEET_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3187,03187_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3192,03192_0.png,BUTTOCKS_EXPOSED,1
3196,03196_0.png,,0
3202,03202_0.png,,0
3208,03208_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3209,03209_0.png,,0
3227,03227_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3231,03231_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3237,03237_0.png,FEMALE_BREAST_EXPOSED,1
3247,03247_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
3251,03251_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3268,03268_0.png,,0
3273,03273_0.png,FEMALE_BREAST_EXPOSED,1
3274,03274_0.png,ARMPITS_EXPOSED,0
3276,03276_0.png,BELLY_EXPOSED,0
3287,03287_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3288,03288_0.png,"BELLY_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3291,03291_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEET_EXPOSED,FEMALE_BREAST_EXPOSED",1
3294,03294_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3296,03296_0.png,FEMALE_BREAST_EXPOSED,1
3297,03297_0.png,,0
3300,03300_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3306,03306_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
3308,03308_0.png,ARMPITS_EXPOSED,0
3313,03313_0.png,,0
3322,03322_0.png,"FEMALE_BREAST_EXPOSED,MALE_GENITALIA_EXPOSED",1
3347,03347_0.png,,0
3368,03368_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3504,03504_0.png,"BELLY_EXPOSED,FEMALE_BREAST_EXPOSED",1
3879,03879_0.png,,0
3894,03894_0.png,"ARMPITS_EXPOSED,FEMALE_BREAST_EXPOSED",1
4058,04058_0.png,"BELLY_EXPOSED,MALE_BREAST_EXPOSED",0
4304,04304_0.png,MALE_GENITALIA_EXPOSED,1
4364,04364_0.png,,0
4492,04492_0.png,"ARMPITS_EXPOSED,BELLY_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED",1
-1,clip_nsfw_histogram.png,,0
-1,nudenet_barplot.png,,0
